Date,Price
20180420,2637.3500
20180419,2664.8300
20180418,2640.0600
20180417,2691.9300
20180414,2648.0500
20180413,2685.6900
20180412,2770.6500
20180411,2678.9000
20180410,2501.7200
20180407,2464.7900
20180406,2456.6700
20180405,2494.4600
20180404,2472.5400
20180403,2438.2100
20180331,2437.3500
20180330,2458.6300
20180329,2481.7300
20180328,2482.7800
20180327,2471.2400
20180324,2464.6100
20180323,2428.3600
20180322,2433.3000
20180321,2435.4200
20180320,2427.0900
20180317,2440.0900
20180316,2425.9600
20180315,2425.4200
20180314,2413.9200
20180313,2397.5600
20180308,2433.4100
20180307,2406.9700
20180306,2434.8300
20180303,2398.7400
20180302,2379.1000
20180301,2393.0100
20180228,2385.4700
20180227,2407.4700
20180223,2415.2600
20180222,2419.9900
20180221,2430.2700
20180220,2440.8100
20180217,2461.6000
20180216,2463.0100
20180215,2463.9600
20180214,2469.1600
20180213,2465.3600
20180210,2461.3600
20180209,2431.0100
20180208,2432.6000
20180207,2473.6900
20180206,2434.3600
20180203,2423.3600
20180202,2425.8400
20180201,2426.5700
20180131,2435.4600
20180130,2440.3200
20180127,2430.9700
20180126,2445.9400
20180125,2448.3800
20180124,2425.0600
20180123,2428.9100
20180120,2430.3300
20180119,2426.6100
20180118,2433.2900
20180117,2420.1400
20180116,2433.4000
20180113,2425.6000
20180112,2418.5600
20180111,2416.6600
20180110,2411.7200
20171230,2400.9700
20171229,2393.1000
20171228,2374.3900
20171227,2353.7500
20171226,2372.6900
20171223,2377.4400
20171222,2383.2600
20171221,2389.8500
20171220,2380.2000
20171219,2375.1400
20171216,2380.7700
20171215,2369.9600
20171214,2360.9500
20171213,2352.0800
20171212,2383.2200
20171209,2374.5000
20171208,2395.9300
20171207,2403.3700
20171206,2407.6300
20171205,2425.9500
20171202,2403.0200
20171201,2414.8500
20171130,2428.3400
20171129,2429.9500
20171128,2425.8200
20171125,2425.9700
20171124,2424.9700
20171123,2435.7700
20171122,2446.9700
20171121,2462.8600
20171118,2461.4300
20171117,2464.3200
20171116,2490.4600
20171115,2441.4900
20171114,2432.4800
20171111,2448.0600
20171110,2446.0400
20171109,2442.5100
20171108,2398.7600
20171104,2395.7200
20171103,2383.7200
20171102,2391.8700
20171101,2381.2600
20171031,2368.1000
20171028,2367.5200
20171027,2373.4600
20171026,2358.0200
20171025,2366.6500
20171024,2356.3100
20171021,2367.2400
20171020,2375.4900
20171019,2358.1100
20171018,2377.5600
20171017,2395.4200
20171014,2396.9600
20171013,2400.7800
20171012,2402.6100
20171011,2407.7300
20171010,2403.8700
20171007,2355.1300
20171006,2366.6700
20171005,2369.6800
20171004,2366.9700
20171003,2366.3700
20170930,2400.5300
20170929,2412.4600
20170928,2408.3600
20170927,2416.8000
20170926,2397.7000
20170923,2404.0900
20170922,2428.5700
20170921,2457.4000
20170920,2444.1000
20170919,2435.1400
20170916,2450.9100
20170915,2457.3000
20170914,2470.0800
20170913,2441.8000
20170912,2460.6700
20170909,2475.5000
20170908,2462.5800
20170907,2470.5400
20170906,2475.8400
20170905,2479.3200
20170902,2460.8400
20170901,2457.8800
20170831,2474.7200
20170830,2490.4400
20170829,2419.3500
20170826,2447.5000
20170825,2444.9900
20170824,2445.6800
20170823,2439.3300
20170822,2448.2700
20170819,2471.9900
20170818,2449.5100
20170817,2435.9700
20170816,2455.7500
20170815,2463.0200
20170812,2492.9400
20170811,2464.1700
20170810,2444.3400
20170809,2432.9300
20170808,2428.3100
20170805,2461.9200
20170804,2464.5000
20170803,2467.1200
20170802,2437.9000
20170801,2445.4200
20170729,2411.3400
20170728,2410.6200
20170727,2398.8300
20170726,2407.8600
20170725,2408.7500
20170722,2363.1900
20170721,2348.8700
20170720,2361.5000
20170719,2361.3800
20170718,2335.4900
20170715,2346.7300
20170714,2363.3400
20170713,2376.6900
20170712,2366.6300
20170711,2341.1200
20170708,2369.0800
20170707,2371.2800
20170706,2340.5500
20170705,2331.3000
20170704,2341.8300
20170701,2373.7500
20170630,2368.0900
20170629,2395.9400
20170628,2367.2200
20170627,2353.8200
20170624,2409.5800
20170623,2419.9700
20170622,2405.6100
20170621,2347.5900
20170620,2331.3100
20170617,2332.7600
20170616,2327.5000
20170615,2325.4200
20170614,2307.7800
20170610,2335.2600
20170609,2353.9200
20170608,2351.8600
20170607,2346.6300
20170606,2331.1600
20170603,2298.1400
20170602,2301.5000
20170601,2303.3400
20170531,2294.5800
20170530,2306.5500
20170527,2308.3000
20170526,2266.1700
20170525,2264.0200
20170524,2290.8600
20170523,2280.1300
20170520,2300.5800
20170519,2330.5300
20170518,2270.3700
20170517,2232.1600
20170516,2238.0600
20170513,2256.7100
20170512,2242.1500
20170511,2283.7300
20170506,2332.6100
20170505,2287.5100
20170504,2301.7100
20170503,2299.4200
20170429,2318.5800
20170428,2315.7500
20170427,2290.2000
20170426,2281.1400
20170425,2293.0500
20170422,2316.7700
20170421,2321.5200
20170420,2315.4800
20170419,2312.7100
20170418,2322.3800
20170415,2324.1900
20170414,2340.4300
20170413,2321.6100
20170412,2299.3800
20170411,2313.0400
20170408,2313.7000
20170407,2274.9100
20170406,2250.7800
20170405,2288.6000
20170404,2249.3900
20170401,2234.0300
20170331,2267.3700
20170330,2297.0200
20170329,2294.8600
20170328,2304.3300
20170325,2296.7300
20170324,2307.8700
20170323,2309.0700
20170322,2267.0500
20170321,2270.8700
